manufacturer,Year,Hand,Gear,Engine_capacity,Engine_type,Km,Color,Curr_ownership,Prev_ownership,Area,City,Pic_num,Price,model,Cre_date,Repub_date,Description,Test
Tesla,2021,1,אוטומטית,0,חשמלי,0,,,,אשדוד - אשקלון,תלמי יפה,1,0.0,טסלה מודל 3,2022-10-13,2022-10-13,"הרכב צבע שחור, סלון צבע שחור, גלגלים 19 אינצ'תאורת אוירה כולל חיבור ושליטה דרך האפליקציה, ידיות דלתות נשלפות אוטומטי, סגירת דלתות ואקום, חלונות כהים ועוד...18601 ק""מ",0
Tesla,2022,1,אוטומטית,1234,חשמלי,0,,,,מודיעין והסביבה,מודיעין מכבים רעות,1,0.0,טסלה מודל 3,2022-10-13,2022-10-13,"למכירה טסלה מודל 3+sr•פבואר 22 •יד 00•19,000 ק""מ תוספות •צבע אפור עם סלון לבן, השילוב הכי טוב שתראו??•השחרת חלונת •גלגל 18•סוללה שניתן להטעין ל100 כל יום •אחריות מלאה •רכב שמור מאוד מלבד כמה סימנים על הפח •נמכר עקב נסיעה אחרת אין סיכוי שהייתי מוותר•220,000",0
Tesla,2021,1,אוטומטית,325,חשמלי,0,,,,אילת והערבה,אילת,1,0.0,טסלה מודל 3,2022-10-03,2022-10-03,"טסלה מודל 3, סטנדרט פלוס.הדגם הייחודי יוניקורן - טווח מוגדל, 325 כוח סוס, כיסאות מחוממים.22,000 קילומטר.דצמבר 2021 גמיש לרציניים",0
Tesla,2021,1,אוטומטית,5,חשמלי,0,,,,nan,Ofaqim,1,0.0,טסלה מודל 3,2022-10-03,2022-10-03,"רכב במצב חדש. שמור בקנאות. ללא תאונות, ללא מכות. צבע לבן. פנימי שחור. גלגל 18"". טסט לשנה.Tesla Model 3 Long Range. הדגם הבכיר עם כל התוספות האפשריות. ארץ ייצור - ארצות הברית! רכב מיוני 2021. רק 28500 קם. כמעת ולא בסופרצ'רגר רק תעינה ביתית וזרם נמוח. צריחת חשמל ממוצה 147-150 . רכב חונה בחניה פרתית מקורה. ללא שום תקלות וביקורים במרכז שירות.",0
Tesla,2021,1,אוטומטית,0,חשמלי,0,,,,הוד השרון והסביבה,הוד השרון,1,0.0,טסלה מודל 3,2022-09-06,2022-09-06,"לא עברה תאונות, יד ראשונה פרטית, נהג יחיד, Standard Range Plus. צבע לבן, sunroof, קישוריות מלאה (גישה עצמאית לאינטרנט כולל חיבור למערכת הניווט). כולל תוספת נהיגה עצמית מלאה (FSD), שעלתה 38,000 ש""ח. טסט עד מרץ 2024 &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; תוספת נהיגה עצמית מלאה (FSD), שעלתה 38,000 ש""ח",0
Tesla,2021,1,אוטומטית,0,חשמלי,0,,,,מודיעין והסביבה,מודיעין מכבים רעות,1,0.0,טסלה מודל 3,2022-08-31,2022-08-31,"טסלה 3 דגם Long Range, טווח 580 ק״מ, ג׳אנטים 19 אינץ",0
Tesla,2021,1,אוטומטית,0,חשמלי,0,,,,רעננה - כפר סבא,כפר סבא,1,0.0,טסלה מודל 3,2022-08-29,2022-08-29,"אז עליית המס בפתח, וזו ההזדמנות שלך להרוויח ובגדול. &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; מדובר על טסלה מודל 3 דגם LONG RANGE משודרג. כלומר, זהו הדגם עם מרחק הנסיעה הגדול ביותר ריפוד לבן וגלגלים 19 אינץ. שימו לב, נכון לעכשיו מי שינסה להזמין חדש מאתר טסלה ישלם 289,256 ש""ח (לפני עליית המיסוי) ומועד האספקה יהיה בשנת 2023. כלומר מחיר הרכישה יהיה למעלה מ 330,000 ש""ח. אז לפרטים נוספים, התקשרו",0
Tesla,2021,1,אוטומטית,50000,חשמלי,0,,,,רעננה - כפר סבא,כפר סבא,1,0.0,טסלה מודל 3,2022-07-08,2022-07-08,כחדש לגמריילבן בחוץ ורפוד לבן בפנים גנט 20דגם פרופרמנס אמריקאי 513 כוח סוס &lt;br/&gt;&lt;br/&gt;פירוט:&lt;br/&gt; כל התוספות דגם פרופרמנס המפואר דגם אמריקאי 513 כוח סוס טיל קרב לבן בחוץ ובפנים גנט 20,0
Tesla,2021,1,אוטומטית,0,חשמלי,0,,,,חולון - בת ים,בת ים,1,0.0,טסלה מודל 3,2022-04-20,2022-04-20,טסלה מודל 3 פרפורמנס חדשה עם כל התוספות ריפודים לבנים לרציניים בלבד ולמביני עיניין,0
Tesla,2021,1,אוטומטית,3600,חשמלי,0,לבן מטאלי,פרטית,פרטית,באר שבע והסביבה,דימונה,1,0.0,טסלה מודל 3,2022-02-07,2022-02-07,הטסלה הכי שמורה בארץ. ריפודים לבנים גנט 19ועוד מלא תוספות,0
Tesla,2022,1,אוטומטית,4500,חשמלי,0,לבן פנינה,אחר,אחר,ירושלים והסביבה,ירושלים,1,0.0,טסלה מודל 3,2022-01-31,2022-01-31,"דגם rs,תגיע במרץ,סלון ומושבים בצבע קרם לבן",0
Tesla,2022,1,אוטומטית,4500,חשמלי,0,לבן פנינה,אחר,אחר,ירושלים והסביבה,ירושלים,1,0.0,טסלה מודל 3,2022-01-31,2022-01-31,"דגם פרפורמנס (היקר),הזמנה שתגיע במאי,מוכר עקב עזיבת הארץ,הרכב יעבור ישר מטסלה אליך",0
Tesla,2022,1,אוטומטית,4500,חשמלי,0,לבן פנינה,אחר,אחר,ירושלים והסביבה,ירושלים,1,0.0,טסלה מודל 3,2022-01-31,2022-01-31,"דגם rs,תגיע ביוני,הרכב יעבור ישר מטסלה אליך",0
Tesla,2021,1,רובוטית,1500,חשמלי,98,לבן,אחר,פרטית,חיפה וחוף הכרמל,חיפה,11,0.0,טסלה מודל X,2021-09-22,2021-09-26,"Tesla model-Y 4x4 AWD Long Range יבוא אישי ( יבואן טסלה לא מייבא מודל-Y לישראל ) דגם אמריקאי, פרטים נוספים ניתן לקבל בהודעה בוואטסאפ או בטלגרם 0585090777",0
Tesla,2021,1,רובוטית,1500,חשמלי,0,סגול מטאלי,אחר,פרטית,חיפה וחוף הכרמל,חיפה,9,0.0,טסלה מודל X,2021-09-20,2021-09-26,"Tesla model-Y 4x4 AWD Long Range יבוא אישי  ( יבואן טסלה לא מייבא מודל-Y לישראל ) דגם אמריקאי, צבע מיוחד-סגול, עור לבן, ק""מ נמוך,פרטים נוספים ניתן לקבל בהודעה בוואטסאפ או בטלגרם 0585090777",0
Tesla,2022,1,אוטומטית,800,חשמלי,0,לבן,ליסינג,ליסינג,אשדוד - אשקלון,אשקלון,10,0.0,טסלה מודל 3,2023-02-09,2023-04-10,"באים, בוחרים, מתחדשים! טסלה מודל 3 - 11/2022 באספקה מידית!100% חשמל כ""ס:283 ק""מ:0'גג פנורמי החל מ-2990 ₪ לחודש *חשבוניות שכירות חודשיות*אחריות יבואן*טרייד אין אטרקטיבי*מימון משתלם*מותנה במתן מקדמה ותשלום סוף תקופה*בכפוף לאישור הגוף הממן*התמונות להמחשה בלבד*ט.ל.ח",0
Tesla,2022,1,אוטומטית,2000,חשמלי,0,לבן פנינה,פרטית,פרטית,"ראשל""צ והסביבה",ראשון לציון,0,0.0,טסלה מודל 3,2023-01-02,2023-01-02,"רכב חדש נסע רק 3,500 ק""מ.",175
Tesla,2021,1,טיפטרוניק,2000,חשמלי,0,,,,תל אביב,תל אביב יפו,0,0.0,טסלה מודל 3,2022-07-28,2022-07-28,מחיר מציאה עקב עזיבת ארץ 35%פחות מחירון,0
Tesla,2022,1,אוטומטית,6000,חשמלי,0,לבן,פרטית,פרטית,תל אביב,תל אביב יפו,0,0.0,טסלה מודל 3,2022-03-23,2022-03-23,"מוכר זכות לטסלה 3 פרפורמנס במחיר לפני ההתיקרות 280,000ש״ח - חסכון של 20,000 ש״ח. אספקה במאי. לבן/לבן. רק 10,000ש״ח",0
